GMID,Dataset,Address,數據集,地址,District,區域,Area,面積,Level,所處位置,Opening Hours,開放時間,Remarks,備註,Location Map,位置圖,Northing,Easting,Latitude,Longitude,Last Update
"SI8SWB6ktD","Public Open Space - Areas within private properties dedicated for public use","71-85 Hennessy Road and 72-86 Lockhart Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港軒尼詩道71-85號及駱克道72-86號","WAN CHAI","灣仔區","about 5 m2","約 5 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE33-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE33-map1.pdf","815452.0","835707.0","22.27793383","114.17143381","2019-07-26 03:44:17"
"opNNkwehxC","Public Open Space - Areas within private properties dedicated for public use","71-85 Hennessy Road and 72-86 Lockhart Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港軒尼詩道71-85號及駱克道72-86號","WAN CHAI","灣仔區","about 5 m2","約 5 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE32-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE32-map1.pdf","815445.0","835696.0","22.27787242","114.17133096","2019-07-26 03:44:17"
"3dwvIJoS1q","Public Open Space - Areas within private properties dedicated for public use","23-25 Harbour Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港港灣道23-25號","WAN CHAI","灣仔區","about 1920 m2","約 1920 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE31-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE31-map1.pdf","815798.0","836098.0","22.2810567","114.17522769","2019-07-26 03:44:17"
"nPfxNtgEeV","Public Open Space - Areas within private properties dedicated for public use","18 Harbour Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港港灣道18號","WAN CHAI","灣仔區","about 6928 m2","約 6928 平方米","G/F & 1/F","地下及1樓","24 hours","24小時","Pedestrian passage(temporary structures for exhibitions and displays may be placed)","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE10-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE10-map.pdf","815688.0","835923.0","22.28006421","114.17353254","2019-07-26 03:44:17"
"nxdzKVw0ug","Public Open Space - Areas within private properties dedicated for public use","308-312 Lockhart Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港駱克道308-312號","WAN CHAI","灣仔區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE88-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE88-map1.pdf","815532.0","836358.0","22.27865546","114.1777486","2019-07-26 03:44:16"
"F9ysS8NxAO","Public Open Space - Areas within private properties dedicated for public use","49 Village Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港山村道49號","WAN CHAI","灣仔區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE11-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE11-map.pdf","814407.0","837230.0","22.26849843","114.1862081","2019-07-26 03:44:16"
"DVNMdcASDY","Public Open Space - Areas within private properties dedicated for public use","6 Tonnochy Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港杜老誌道6號","WAN CHAI","灣仔區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE47-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE47-map1.pdf","815603.0","836388.0","22.27929483","114.17804746","2019-07-26 03:44:16"
"dEJqIVcBfK","Public Open Space - Areas within private properties dedicated for public use","70-70A Sing Woo Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港成和道70-70A號","WAN CHAI","灣仔區","about 13 m2","約 13 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE46-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE46-map1.pdf","814180.0","837376.0","22.26645199","114.18763323","2019-07-26 03:44:16"
"FyWJpMIHdV","Public Open Space - Areas within private properties dedicated for public use","33 Sharp Street East and 11 Yiu Wa Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港霎東街33號及耀華街11號","WAN CHAI","灣仔區","about 23 m2","約 23 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE20-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE20-map.pdf","815430.0","836783.0","22.27773787","114.18187143","2019-07-26 03:44:16"
"trGC6pPZX5","Public Open Space - Areas within private properties dedicated for public use","7A Shan Kwong Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港山光道7A號","WAN CHAI","灣仔區","about 1 m2","約 1 平方米","LG-2/F, G/F","LG-2/F, G/F","24 hours","24小時","Public passage","公眾通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE101-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE101-map1.pdf","814323.0","837113.0","22.26774082","114.18507772","2019-07-26 03:44:16"
"4qfACZZVmY","Public Open Space - Areas within private properties dedicated for public use","3 Shan Kwong Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港山光道3號","WAN CHAI","灣仔區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE45-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE45-map1.pdf","814424.0","837048.0","22.26865295","114.18444226","2019-07-26 03:44:16"
"CAk1ULk6gm","Public Open Space - Areas within private properties dedicated for public use","202 Queen's Road East, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港皇后大道東202號","WAN CHAI","灣仔區","about 117 m2","約 117 平方米","G/F & 2/F","地下及2樓","24 hours","24小時","Street widening (corner); Pedestrian passage","街道擴闊(街角); 行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE21-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE21-map.pdf","815126.0","835786.0","22.27498896","114.17220142","2019-07-26 03:44:16"
"lrzMhRL9Nk","Public Open Space - Areas within private properties dedicated for public use","182 Queen's Road East, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港皇后大道東182號","WAN CHAI","灣仔區","about 10 m2","約 10 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE44-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE44-map1.pdf","815161.0","835724.0","22.27531043","114.17160468","2019-07-26 03:44:16"
"bUoUIjkDx6","Public Open Space - Areas within private properties dedicated for public use","1 Queen's Road East, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港皇后大道東1號","WAN CHAI","灣仔區","about 2196 m2","約 2196 平方米","Level -12.00, Basement 3, Lower G/F & Upper G/F","12.00平台、第3層地庫、地下低層及地下高層","24 hours","24小時","Street widening; Pedestrian and vehicular passage","街道擴闊; 行人及車輛通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE07-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE07-map.pdf","815337.0","835351.0","22.27689244","114.16798539","2019-07-26 03:44:16"
"nkeNh3ytPS","Public Open Space - Areas within private properties dedicated for public use","99 Percival Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港波斯富街99號","WAN CHAI","灣仔區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE43-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE43-map1.pdf","815493.0","836910.0","22.27830676","114.18310569","2019-07-26 03:44:16"
"l27PGITyVq","Public Open Space - Areas within private properties dedicated for public use","2-20 Paterson Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港百德新街2-20號","WAN CHAI","灣仔區","about 85 m2","約 85 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE42-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE42-map1.pdf","815704.0","837202.0","22.2802148","114.18594107","2019-07-26 03:44:16"
"dhliG9kqEN","Public Open Space - Areas within private properties dedicated for public use","1 Matheson Street, Causeway Bay, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港銅鑼灣勿地臣街1號","WAN CHAI","灣仔區","about 1347 m2","約 1347 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/RL9-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/RL9-map1.pdf","815486.0","836798.0","22.2782463","114.18202185","2019-07-26 03:44:16"
"ZVmKTgeBRF","Public Open Space - Areas within private properties dedicated for public use","1 Begonia Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍海棠路1號","KOWLOON CITY","九龍城區","about 34 m2","約 34 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K104-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K104-map1.pdf","821418.0","836089.0","22.33181505","114.17513975","2019-07-26 03:44:16"
"kQmPCloq9c","Public Open Space - Areas within private properties dedicated for public use","66 Baker Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍必嘉街66號","KOWLOON CITY","九龍城區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K115-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K115-map1.pdf","818656.0","836976.0","22.30687241","114.18375236","2019-07-26 03:44:16"
"k5dtvnblre","Public Open Space - Areas within private properties dedicated for public use","43 Baker Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍必嘉街43號","KOWLOON CITY","九龍城區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K51-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K51-map1.pdf","818704.0","836964.0","22.30730498","114.18363689","2019-07-26 03:44:16"
"wOSG377G3S","Public Open Space - Areas within private properties dedicated for public use","98 Argyle Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍亞皆老街98號","KOWLOON CITY","九龍城區","about 10 m2","約 10 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K73-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K73-map1.pdf","820098.0","835926.0","22.31988833","114.17355878","2019-07-26 03:44:16"
"VDBmvwxotd","Public Open Space - Areas within private properties dedicated for public use","28 Hennessy Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港軒尼詩道28號","WAN CHAI","灣仔區","about 29 m2","約 29 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE91-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE91-map1.pdf","815397.0","835485.0","22.27744157","114.16928363","2019-07-26 03:44:16"
"IgkCOpgaeE","Public Open Space - Areas within private properties dedicated for public use","28 Wood Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港活道28號","WAN CHAI","灣仔區","about 155 m2","約 155 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE90-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE90-map1.pdf","815292.0","836267.0","22.27649353","114.17686949","2019-07-26 03:44:16"
"7TUXZgySaP","Public Open Space - Areas within private properties dedicated for public use","152-158 Wan Chai Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港灣仔道152-158號","WAN CHAI","灣仔區","about 17 m2","約 17 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE89-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE89-map1.pdf","815354.0","836242.0","22.27705253","114.17663079","2019-07-26 03:44:16"
"efuNoVmRZG","Public Open Space - Areas within private properties dedicated for public use","125 Wanchai Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港灣仔道125號","WAN CHAI","灣仔區","about 34 m2","約 34 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE08-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE08-map.pdf","815305.0","836170.0","22.2766037","114.17592733","2019-07-26 03:44:16"
"feLcaXNAQ8","Public Open Space - Areas within private properties dedicated for public use","28 Bulkeley Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍寶其利街28號","KOWLOON CITY","九龍城區","about 6 m2","約 6 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K55-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K55-map1.pdf","818731.0","837038.0","22.30754516","114.1843512","2019-07-26 03:44:15"
"qQ0fVn3teb","Public Open Space - Areas within private properties dedicated for public use","25 Nga Tsin Wai Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍衙前圍道25號","KOWLOON CITY","九龍城區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K71-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K71-map1.pdf","821077.0","837588.0","22.32873241","114.18969","2019-07-26 03:44:15"
"0CeJGGaD5b","Public Open Space - Areas within private properties dedicated for public use","8 Maidstone Lane, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍美善同裡8號","KOWLOON CITY","九龍城區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K52-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K52-map1.pdf","820046.0","837287.0","22.31942208","114.18676668","2019-07-26 03:44:15"
"o5TSMJLRWf","Public Open Space - Areas within private properties dedicated for public use","1 Maidstone Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍美善同道1號","KOWLOON CITY","九龍城區","about 8 m2","約 8 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K49-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K49-map1.pdf","820032.0","837322.0","22.31929201","114.18711317","2019-07-26 03:44:15"
"uqiOYVVr7W","Public Open Space - Areas within private properties dedicated for public use","356 Ma Tau Wai Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍馬頭圍道356號","KOWLOON CITY","九龍城區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K16-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K16-map1.pdf","819897.0","837345.0","22.31807648","114.18732758","2019-07-26 03:44:15"
"yQ9QGQJHb0","Public Open Space - Areas within private properties dedicated for public use","44, 46 and 48 Ma Tau Wai Road, 8 and12 Station Lane and 1A, 3, 5 and 7 Fat Kwong Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍馬頭圍道44、46及48號,差館裡8及12號及佛光街1A、3、5及7號","KOWLOON CITY","九龍城區","about 187 m2","約 187 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K64-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K64-map1.pdf","818774.0","837237.0","22.30793699","114.18628643","2019-07-26 03:44:15"
"tAcbjb8U8e","Public Open Space - Areas within private properties dedicated for public use","35-45 Ma Tau Kok Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍馬頭角道35-45號","KOWLOON CITY","九龍城區","about 10 m2","約 10 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K74-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K74-map1.pdf","820307.0","837594.0","22.32178066","114.18974954","2019-07-26 03:44:15"
"ONt9nGOl0f","Public Open Space - Areas within private properties dedicated for public use","23-25H Ma Tau Wai Road and 9-31 Man Yue Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍馬頭圍道23-25H號及民裕街9-31號","KOWLOON CITY","九龍城區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K68-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K68-map1.pdf","818911.0","837412.0","22.30917407","114.18797911","2019-07-26 03:44:15"
"LxDvpOTj2n","Public Open Space - Areas within private properties dedicated for public use","93 Lion Rock Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍獅子石道93號","KOWLOON CITY","九龍城區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K46-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K46-map1.pdf","821278.0","837417.0","22.33054948","114.18802934","2019-07-26 03:44:15"
"dxknXsZHNf","Public Open Space - Areas within private properties dedicated for public use","21A La Salle Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍喇沙利道21A號","KOWLOON CITY","九龍城區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K110-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K110-map1.pdf","821264.0","836774.0","22.33041705","114.18178596","2019-07-26 03:44:15"
"Xbaf6J4Eyl","Public Open Space - Areas within private properties dedicated for public use","18A La Salle Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍喇沙利道18A號","KOWLOON CITY","九龍城區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K118-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K118-map1.pdf","821225.0","836813.0","22.33006936","114.18217228","2019-07-26 03:44:15"
"CWrEpAxR7a","Public Open Space - Areas within private properties dedicated for public use","16 La Salle Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍喇沙利道16號","KOWLOON CITY","九龍城區","about 12 m2","約 12 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K87-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K87-map1.pdf","820911.0","836795.0","22.32723556","114.18199357","2019-07-26 03:44:15"
"wZsWqSuoNj","Public Open Space - Areas within private properties dedicated for public use","61 Kowloon City Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍九龍城道61號","KOWLOON CITY","九龍城區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K32-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K32-map1.pdf","820022.0","837532.0","22.31920247","114.18914656","2019-07-26 03:44:15"
"BOThHNzKtt","Public Open Space - Areas within private properties dedicated for public use","69 Gillies Avenue South Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍機利士南路69號","KOWLOON CITY","九龍城區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K7-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K7-map1.pdf","818802.0","837115.0","22.30818991","114.1850995","2019-07-26 03:44:15"
"3CmQV8GJAA","Public Open Space - Areas within private properties dedicated for public use","63 Gillies Avenue South, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍機利士南路63號","KOWLOON CITY","九龍城區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K24-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K24-map1.pdf","818761.0","837081.0","22.30781335","114.18476756","2019-07-26 03:44:15"
"hKL2HElpkQ","Public Open Space - Areas within private properties dedicated for public use","4-6 Dock Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍船澳街4-6號","KOWLOON CITY","九龍城區","about 10 m2","約 10 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K102-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K102-map1.pdf","818657.0","837331.0","22.30687493","114.18719864","2019-07-26 03:44:15"
"mmeX1VJcyF","Public Open Space - Areas within private properties dedicated for public use","436-450 Chatham Road North, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍漆咸道北436-450號","KOWLOON CITY","九龍城區","about 10 m2","約 10 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K92-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K92-map1.pdf","819199.0","837235.0","22.31177319","114.18625951","2019-07-26 03:44:15"
"Pl8FxhmPNQ","Public Open Space - Areas within private properties dedicated for public use","271-273 Chatham Road North, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍漆咸道北271-273號","KOWLOON CITY","九龍城區","about 35 m2","約 35 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K65-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K65-map1.pdf","818922.0","836965.0","22.30927545","114.18364184","2019-07-26 03:44:15"
"jFefC1bajd","Public Open Space - Areas within private properties dedicated for public use","270-274 Chatham Road North, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍漆咸道北270-274號","KOWLOON CITY","九龍城區","about 12 m2","約 12 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K76-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K76-map1.pdf","818846.0","836947.0","22.30858552","114.18346614","2019-07-26 03:44:15"
"AiT85TzM7v","Public Open Space - Areas within private properties dedicated for public use","39 Cambridge Road, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍劍橋道39號","KOWLOON CITY","九龍城區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K105-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K105-map1.pdf","821644.0","836533.0","22.33385414","114.17944962","2019-07-26 03:44:15"
"BUdOuaYBrq","Public Open Space - Areas within private properties dedicated for public use","89 Bulkeley Street, Kowloon","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","九龍寶其利街89號","KOWLOON CITY","九龍城區","about 6 m2","約 6 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K57-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/KLN/K57-map1.pdf","818691.0","837151.0","22.30718207","114.18545174","2019-07-26 03:44:15"
