GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"sSEeWWvi6f","Parks, Zoos and Gardens","North District Park","Jockey Club Road, Sheung Shui","公園及動植物公園","北區公園","上水馬會道","NORTH","北區","PARK, HARD-SURFACE PITCHES, BASKETBALL COURTS, VOLLEYBALL COURTS, HANDBALL COURTS, JOGGING TRACKS/FITNESS TRAILS","公園, 硬地球場, 籃球場, 排球場, 手球場, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side soccer pitch","7人足球場","839924.0","831867.0","22.49892247","114.13411131","2010-07-06 03:25:59"
"nZArw8Lcn4","Parks, Zoos and Gardens","Quarry Bay Park","Near Hoi Tai Street, Quarry Bay","公園及動植物公園","鰂魚涌公園","鰂魚涌近海堤街","EASTERN","東區","PARK, GRASS PITCHES, TENNIS COURTS, BASKETBALL COURTS, CYCLING TRACKS/GROUNDS, JOGGING TRACKS/FITNESS TRAILS","公園, 草地球場, 網球場, 籃球場, 單車徑/場, 緩跑徑/健身徑","","","","","","","","","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side Artificial Turf Football Pitches","7人人造草足球場","816612.0","840251.0","22.28840423","114.21552469","2010-04-21 02:59:37"
"updsx7Sxwa","Parks, Zoos and Gardens","Chai Wan Park","Chai Wan Park, Tsui Wan Street, Chai Wan","公園及動植物公園","柴灣公園","柴灣翠灣街柴灣公園","EASTERN","東區","PARK, HARD-SURFACE PITCHES, BASKETBALL COURTS, TENNIS COURTS, JOGGING TRACKS/FITNESS TRAILS, MODEL BOAT POOLS","公園, 硬地球場, 籃球場, 網球場, 緩跑徑/健身徑, 模型船池","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/parks/cwp/en/index.html","http://www.lcsd.gov.hk/parks/cwp/b5/index.html","7-a-side soccer pitch","7人足球場","814162.0","842618.0","22.26627749","114.23848686","2010-04-15 09:35:24"
"5K0bBxQNUU","Parks, Zoos and Gardens","Tin Shui Wai Park","6 Tin Shui Road, Tin Shui Wai, Yuen Long","公園及動植物公園","天水圍公園","天水圍天瑞路6號","YUEN LONG","元朗","PARK, HARD-SURFACE PITCHES, TENNIS COURTS, BASKETBALL COURTS, VOLLEYBALL COURTS, GATEBALL COURTS, SKATEBOARD GROUNDS, MODEL CAR PLAY AREA, MODEL BOAT POOLS","公園, 硬地球場, 網球場, 籃球場, 排球場, 門球場, 滑板場, 模型車場, 模型船池","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","5-a-side Soccer Pitch, Basketball cum Volleyball Courts","五人足球場, 籃球暨排球場","835143.0","818418.0","22.45565875","114.00345421","2010-04-15 09:34:21"
"wJ8k0Jn1W0","Parks, Zoos and Gardens","Central Kwai Chung Park","San Kwai Street, Kwai Chung","公園及動植物公園","中葵涌公園","葵涌新葵街","KWAI TSING","葵青","PARK, HARD-SURFACE PITCHES, BASKETBALL COURTS, VOLLEYBALL COURTS, JOGGING TRACKS/FITNESS TRAILS","公園, 硬地球場, 籃球場, 排球場, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","5-a-side soccer pitch","5人足球場","824230.0","831741.0","22.35719612","114.13292458","2010-03-09 07:25:50"
"K3dGu4TbGo","Parks, Zoos and Gardens","Shing Mun Valley Park","Shing Mun Road, Tsuen Wan","公園及動植物公園","城門谷公園","荃灣城門道","TSUEN WAN","荃灣","PARK, HARD-SURFACE PITCHES, TENNIS COURTS, BASKETBALL COURTS, VOLLEYBALL COURTS, HANDBALL COURTS","公園, 硬地球場, 網球場, 籃球場, 排球場, 手球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side soccer pitch cum handball court, basketball-cum-volleyball courts","7人足球場兼手球場, 籃球場兼排球場","826174.0","830933.0","22.37474917","114.12507259","2010-03-09 07:23:00"
"zIaqtroUOz","Parks, Zoos and Gardens","Yuen Long Park","Town Park Road North, Yuen Long","公園及動植物公園","元朗公園","元朗元朗公園北路","YUEN LONG","元朗","PARK, HARD-SURFACE PITCHES, GATEBALL COURTS, AVIARY PAGODA, HANDBALL COURTS","公園, 硬地球場, 門球場, 百鳥塔, 手球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side Soccer Pitch, 5-a-side Soccer Pitch","七人足球場, 五人足球場,","833684.0","820009.0","22.44249924","114.01892631","2010-03-09 07:21:13"
"aCyRzlBluT","Parks, Zoos and Gardens","Hong Kong Zoological & Botanical Gardens","Albany Road, Central & Western","公園及動植物公園","香港動植物公園","中西區雅賓利道","CENTRAL AND WESTERN","中西區","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","","","815425.0","834109.0","22.27768633","114.15592538","2010-03-09 07:19:58"
"dOhl3DpXNZ","Parks, Zoos and Gardens","West Kowloon Waterfront Promenade","West Kowloon Reclamation Area (J/O Austin Road West/ Nga Cheung Road)","公園及動植物公園","西九龍海濱長廊","西九龍填海區 (九龍柯士甸道西/雅翔道交界)","YAU TSIM MONG","油尖旺","PARK, CYCLING TRACKS/GROUNDS","公園, 單車徑/場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","N.A.","N.A.","817973.0","833969.0","22.30069709","114.15456913","2009-10-29 10:07:40"
"wxKnsizorm","Parks, Zoos and Gardens","Po Hong Park","Wan Lung Road, Tseung Kwan O","公園及動植物公園","寶康公園","將軍澳運隆路","SAI KUNG","西貢","PARK, HARD-SURFACE PITCHES, HANDBALL COURTS, BASKETBALL COURTS, VOLLEYBALL COURTS, GATEBALL COURTS, ROLLER SKATING RINKS, JOGGING TRACKS/FITNESS TRAILS","公園, 硬地球場, 手球場, 籃球場, 排球場, 門球場, 滾軸溜冰場, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side soccer cum handball pitch","七人足球兼手球場","819977.0","844591.0","22.3187749","114.25765676","2009-10-29 06:27:20"
"fWDZXFWOpJ","Parks, Zoos and Gardens","Po Tsui Park","Po Hong Road, Tseung Kwan O","公園及動植物公園","寶翠公園","將軍澳寶康路","SAI KUNG","西貢","PARK, GRASS PITCHES, HARD-SURFACE PITCHES, TENNIS COURTS, HANDBALL COURTS, HOCKEY GROUNDS, JOGGING TRACKS/FITNESS TRAILS","公園, 草地球場, 硬地球場, 網球場, 手球場, 曲棍球場, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","11-a-side artificial turf soccer cum hockey pitch , 7-a-side soccer cum handball pitch, Tennis Practice Courts","11人人造草地足球場兼曲棍球場, 7人足球兼手球場, 網球練習場","820668.0","844110.0","22.3250173","114.2529916","2009-10-29 06:27:05"
"YiaaI2jovP","Parks, Zoos and Gardens","Shek Kip Mei Park","270 Nam Cheong Street, Sham Shui Po","公園及動植物公園","石硤尾公園","深水埗南昌街270號","SHAM SHUI PO","深水埗","PARK, GRASS PITCHES, HARD-SURFACE PITCHES, BASKETBALL COURTS, TENNIS COURTS, RUGBY PITCHES, JOGGING TRACKS/FITNESS TRAILS","公園, 草地球場, 硬地球場, 籃球場, 網球場, 欖球場, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","11-a-side turf soccer pitch/rugby pitch, 7-a-side soccer pitch","11人草地足球場/欖球場, 7人足球場","822169.0","835661.0","22.33858998","114.17098204","2009-10-29 06:25:59"
"RGYDT5cdLC","Parks, Zoos and Gardens","Kowloon Walled City Park","Tung Tsing Road,Kowloon City","公園及動植物公園","九龍寨城公園","九龍城東正道","KOWLOON CITY","九龍城","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","","","821401.0","837602.0","22.33165589","114.18982714","2009-09-18 07:53:46"
"c6vdVQAAra","Parks, Zoos and Gardens","Nan Lian Garden","Fung Tak Road, Diamond Hill, Wong Tai Sin","公園及動植物公園","南蓮園池","黃大仙鑽石山鳳德道60號","WONG TAI SIN","黃大仙","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","","","822229.0","839116.0","22.33912956","114.20452571","2009-08-27 09:50:19"
"WuH88p6S47","Parks, Zoos and Gardens","Hong Kong Park","19 Cotton Tree Drive, Central","公園及動植物公園","香港公園","中環紅棉路19號","CENTRAL AND WESTERN","中西區","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","","","815383.0","834672.0","22.27730765","114.16138826","2009-08-27 09:47:25"
"lxIS9bEv2Q","Parks, Zoos and Gardens","Yuen Po Street Bird Garden","Yuen Po Street, Mongkok","公園及動植物公園","園圃街雀鳥花園","旺角園圃街","YAU TSIM MONG","油尖旺","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","N.A.","N.A.","820749.0","835951.0","22.32577476","114.17380325","2009-08-27 09:07:52"
"9gHcg77oos","Parks, Zoos and Gardens","Tsuen Wan Riviera Park","2A Yi Hong Street, Tsuen Wan","公園及動植物公園","荃灣海濱公園","荃灣怡康街2A號","TSUEN WAN","荃灣","PARK, GRASS PITCHES, TENNIS COURTS, BASKETBALL COURTS, VOLLEYBALL COURTS, GATEBALL COURTS","公園, 草地球場, 網球場, 籃球場, 排球場, 門球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","11-a-side Natural Grass Soccer Pitch, Basketball cum Volleyball Court","11人天然草地足球場, 籃球場暨排球場","824915.0","829602.0","22.36337508","114.1121541","2009-07-16 04:13:01"
